公司名称,城市,薪资,公司规模,地址
唯存（上海）网络科技有限公司,上海,10k-15k,150-500人,2号线_陆家嘴;2号线_南京东路;8号线_大世界;10号线_南京东路;10号线_豫园;10号线_南京东路;10号线_豫园
径卫视觉科技（上海）有限公司,上海,18k-25k,150-500人,8号线_江浦路;8号线_黄兴路;12号线_江浦公园;12号线_宁国路
上海汇翼信息科技有限公司,上海,15k-25k,150-500人,2号线_张江高科
上海识装信息科技有限公司,上海,15k-30k,500-2000人,3号线_赤峰路;3号线_虹口足球场;3号线_东宝兴路;4号线_海伦路;8号线_西藏北路;8号线_虹口足球场;8号线_曲阳路;10号线_邮电新村;10号线_海伦路;10号线_邮电新村;10号线_海伦路
瞬联软件科技（北京）有限公司,上海,8k-10k,500-2000人,2号线_淞虹路
上海大岂网络科技有限公司,上海,18k-25k,50-150人,1号线_徐家汇;3号线_虹桥路;3号线_宜山路;4号线_虹桥路;9号线_徐家汇;9号线_宜山路;10号线_交通大学;10号线_虹桥路;10号线_交通大学;10号线_虹桥路;11号线_交通大学;11号线_徐家汇;11号线_徐家汇;11号线_交通大学
上海商涌网络科技有限公司,上海,15k-20k,50-150人,2号线_金科路;2号线_张江高科
上海悦易网络信息技术有限公司,上海,15k-25k,2000人以上,10号线_殷高东路;10号线_三门路;10号线_江湾体育场;10号线_五角场;10号线_殷高东路;10号线_三门路;10号线_江湾体育场;10号线_五角场
上海骞云信息科技有限公司,上海,17k-34k,50-150人,12号线_隆昌路;12号线_爱国路
精硕科技（北京）股份有限公司,上海,15k-25k,500-2000人,3号线_曹杨路;3号线_金沙江路;4号线_金沙江路;4号线_曹杨路;11号线_枫桥路;11号线_曹杨路;11号线_曹杨路;11号线_枫桥路;13号线_大渡河路;13号线_金沙江路
上海华钦信息科技股份有限公司,上海,16k-25k,500-2000人,2号线_东昌路;2号线_陆家嘴
上海砸立电子商务有限公司,上海,10k-20k,50-150人,
上海掌小门教育科技有限公司,上海,13k-26k,2000人以上,3号线_虹口足球场;3号线_东宝兴路;3号线_宝山路;4号线_宝山路;4号线_海伦路;4号线_临平路;8号线_虹口足球场;10号线_邮电新村;10号线_海伦路;10号线_四川北路;10号线_邮电新村;10号线_海伦路;10号线_四川北路;12号线_国际客运中心
上海舟恩信息技术有限公司,上海,10k-12k,150-500人,9号线_桂林路;12号线_虹漕路;12号线_桂林公园
上海欢兽实业有限公司,上海,18k-30k,500-2000人,1号线_新闸路;1号线_汉中路;1号线_上海火车站;1号线_中山北路;3号线_上海火车站;4号线_上海火车站;8号线_曲阜路;8号线_中兴路;12号线_汉中路;12号线_曲阜路;13号线_江宁路;13号线_汉中路;13号线_自然博物馆
公司名称,城市,薪资,公司规模,地址
上海掌小门教育科技有限公司,上海,15k-25k,2000人以上,3号线_虹口足球场;3号线_东宝兴路;3号线_宝山路;4号线_宝山路;4号线_海伦路;4号线_临平路;8号线_虹口足球场;10号线_邮电新村;10号线_海伦路;10号线_四川北路;10号线_邮电新村;10号线_海伦路;10号线_四川北路;12号线_国际客运中心
上海华钦信息科技股份有限公司,上海,12k-20k,500-2000人,2号线_世纪公园;2号线_上海科技馆;4号线_浦电路(4号线);4号线_蓝村路;6号线_蓝村路;6号线_浦电路(6号线)
